ISCL,Class,Tons,Mech,Place,Pilot,Score
IS,Light,35,Jenner,1, MattEdge,3438.0
IS,Light,35,Jenner,2, The Real Rick Hunter,3048.0
IS,Light,35,Jenner,3, Rtor,3038.0
IS,Light,35,Jenner,4, KilluminatiStyle,3031.0
IS,Light,35,Jenner,5, EntertainEnterprises,2995.0
IS,Light,35,Jenner,6, Badmofo Foshotho,2918.0
IS,Light,35,Jenner,7, Jondoeiowa,2890.0
IS,Light,35,Jenner,8, Allistan,2873.0
IS,Light,35,Jenner,9, Mistydove,2854.0
IS,Light,35,Jenner,10, DropshipPilot,2748.0
IS,Light,35,Jenner,11, SmallandBlue,2663.0
IS,Light,35,Jenner,12, astinius,2603.0
IS,Light,35,Jenner,13, ahdinko,2564.0
IS,Light,35,Jenner,14, Quicksilverc6,2540.0
IS,Light,35,Jenner,15, Yeager77,2538.0
IS,Light,35,Jenner,16, Artanizzz,2479.0
IS,Light,35,Jenner,17, Tygra1,2469.0
IS,Light,35,Jenner,18, Delus,2466.0
IS,Light,35,Jenner,19, HitmannD,2465.0
IS,Light,35,Jenner,20, hoodstock,2462.0
IS,Light,35,Jenner,21, Gorkul,2446.0
IS,Light,35,Jenner,22, ecued,2443.0
IS,Light,35,Jenner,23, Drachnid,2419.0
IS,Light,35,Jenner,24, Crushko,2419.0
IS,Light,35,Jenner,25, Jagd Panzer,2401.0
IS,Light,35,Jenner,26, Shevy,2365.0
IS,Light,35,Jenner,27, Aaziz,2351.0
IS,Light,35,Jenner,28, Blue Splint,2350.0
IS,Light,35,Jenner,29, Bibi1809,2345.0
IS,Light,35,Jenner,30, SombraRojo,2341.0
IS,Light,35,Jenner,31, LuckySunny85,2340.0
IS,Light,35,Jenner,32, patman,2326.0
IS,Light,35,Jenner,33, Phisp,2321.0
IS,Light,35,Jenner,34, Jurosik,2301.0
IS,Light,35,Jenner,35, Vadhalla,2298.0
IS,Light,35,Jenner,36, BlazingLasers,2292.0
IS,Light,35,Jenner,37, MichtioN,2290.0
IS,Light,35,Jenner,38, Ascaloth,2286.0
IS,Light,35,Jenner,39, Houston Webster,2278.0
IS,Light,35,Jenner,40, Darian DelFord,2271.0
IS,Light,35,Jenner,41, LEFEF,2268.0
IS,Light,35,Jenner,42, EvAbsence,2260.0
IS,Light,35,Jenner,43, Enraged Burrito,2236.0
IS,Light,35,Jenner,44, Malystryx VoF,2234.0
IS,Light,35,Jenner,45, StrAIn Blaze,2227.0
IS,Light,35,Jenner,46, strongl3ad,2226.0
IS,Light,35,Jenner,47, ChefJitsu,2226.0
IS,Light,35,Jenner,48, bandal110,2215.0
IS,Light,35,Jenner,49, Wyattorc,2196.0
IS,Light,35,Jenner,50, Dorkwis,2190.0
IS,Light,35,Jenner,51, darthJaeger,2169.0
IS,Light,35,Jenner,52, Stone Wall,2157.0
IS,Light,35,Jenner,53, Wuffel,2153.0
IS,Light,35,Jenner,54, Schorsche,2147.0
IS,Light,35,Jenner,55, BRUNO555555,2138.0
IS,Light,35,Jenner,56, Terror066,2133.0
IS,Light,35,Jenner,57, Spitz,2133.0
IS,Light,35,Jenner,58, Sir Gawayn,2131.0
IS,Light,35,Jenner,59, Col Skaza,2119.0
IS,Light,35,Jenner,60, Inuendo,2113.0
IS,Light,35,Jenner,61, Brikkwall,2101.0
